sentence_id,sentence
0,"Delfiny to jedne z najbardziej inteligentnych i fascynujących ssaków morskich, należących do rodziny waleni, blisko spokrewnione z wielorybami i morświnami"
1,"Zamieszkują niemal wszystkie oceany i morza świata, preferując ciepłe i umiarkowane wody"
2,"Są zwierzętami stadnymi – żyją w grupach zwanych stadami lub ławicami, które mogą liczyć od kilku do nawet kilkuset osobników"
3,"Delfiny słyną ze swojej niezwykłej inteligencji, umiejętności uczenia się, zapamiętywania oraz naśladowania dźwięków i ruchów"
4,"Komunikują się za pomocą szerokiego repertuaru gwizdów, klików i pisków, tworząc coś na kształt własnego języka"
5,"Wykorzystują echolokację, czyli emitowanie fal dźwiękowych odbijających się od przeszkód, co pozwala im skutecznie polować i orientować się w morskiej przestrzeni"
6,"Ich dieta składa się głównie z ryb i kałamarnic, które łowią często w sposób zespołowy, współpracując ze sobą"
7,"Delfiny potrafią wyskakiwać wysoko nad powierzchnię wody, co może służyć zarówno zabawie, jak i komunikacji czy dezorientowaniu ofiar"
8,"Mają doskonały wzrok i słuch, choć ich węch jest słabo rozwinięty"
9,"Charakteryzują się smukłym, hydrodynamicznym ciałem, dzięki czemu są bardzo szybkie i zwinne – mogą osiągać prędkość do 60 km/h"
10,"Oddychają powietrzem atmosferycznym przez otwór nosowy zwany nozdrzem, umieszczony na czubku głowy"
11,"Są zwierzętami ciepłokrwistymi, a ich skóra pokryta jest warstwą tłuszczu, która izoluje je od zimna"
12,"Delfiny wykazują zachowania altruistyczne, często pomagając rannym towarzyszom, a nawet ludziom znajdującym się w niebezpieczeństwie"
13,"Znane są przypadki, gdy delfiny chroniły pływaków przed rekinami, tworząc wokół nich krąg ochronny"
14,"Rozmnażają się poprzez żyworodność – młode rodzą się w wodzie i od razu muszą wypłynąć na powierzchnię, aby zaczerpnąć powietrza"
15,"Cielęta są karmione mlekiem matki przez kilka miesięcy, a więzi rodzinne bywają bardzo silne"
16,"Przeciętna długość życia delfinów wynosi około 20–40 lat, choć niektóre gatunki dożywają ponad 50 lat"
17,"Najbardziej znanym gatunkiem jest delfin butlonosy, często spotykany w delfinariach i badaniach naukowych"
18,"Delfiny są zwierzętami niezwykle ciekawskimi, często podpływają do statków i surfują na falach dziobowych"
19,"Niestety, są także zagrożone przez działalność człowieka – połowy rybne, zanieczyszczenia oceanów, hałas podwodny oraz zmiany klimatyczne wpływają na ich populacje"
