sentence,mask_index,mask_str,option1_str,option1_score,option2_str,option2_score,option3_str,option3_score
"Sieci neuronowe to jedna z najważniejszych gałęzi sztucznej inteligencji, inspirowana działaniem ludzkiego mózgu, w którym neurony przetwarzają i przekazują sygnały",11,ludzkiego,ludzkiego,0.7078,naszego,0.0844,własnego,0.047
"Składają się z warstw sztucznych neuronów połączonych między sobą – warstwy wejściowej, jednej lub wielu warstw ukrytych oraz warstwy wyjściowej",8,sobą,sobą,0.9962,siebie,0.0014,nimi,0.0009
"Każdy neuron otrzymuje sygnały, mnoży je przez przypisane wagi, sumuje i przepuszcza przez funkcję aktywacji, co pozwala modelowi uchwycić nieliniowe zależności",8,"wagi,",",",0.6224,wartości,0.0331,i,0.0284
"Dzięki temu sieci neuronowe potrafią rozpoznawać wzorce w danych, które byłyby trudne do zauważenia dla tradycyjnych algorytmów",13,zauważenia,zrozumienia,0.4368,wykrycia,0.0797,osiągnięcia,0.0756
"Uczą się na podstawie przykładów – w procesie zwanym uczeniem maszynowym, gdzie poprzez metodę propagacji wstecznej korygowane są wagi neuronów w celu zmniejszenia błędów",1,się,się,0.5795,–,0.2325,-,0.01
"Istnieją różne rodzaje sieci, m",3,"sieci,",",",0.0728,.,0.0372,takich,0.0307
in,0,in,?,0.1582,•,0.1095,→,0.0987
"perceptrony wielowarstwowe (MLP), sieci konwolucyjne (CNN) świetne w rozpoznawaniu obrazów, czy rekurencyjne (RNN) przeznaczone do analizy sekwencji, takich jak tekst czy mowa",0,perceptrony,sieci,0.7662,Sieci,0.0797,",",0.0125
"Sieci głębokie, składające się z wielu warstw, tworzą podstawę tzw",3,się,się,0.9986,sie,0.0013,sią,0.0
"deep learningu, który zrewolucjonizował rozpoznawanie obrazów, tłumaczenia automatyczne czy sterowanie pojazdami autonomicznymi",2,który,który,0.9787,które,0.0055,która,0.0023
"Zastosowania sieci neuronowych są dziś niezwykle szerokie – od diagnostyki medycznej i przewidywania chorób, przez generowanie obrazów i muzyki, aż po chatboty i tłumaczenia maszynowe",4,dziś,obecnie,0.2767,dziś,0.2152,dzisiaj,0.0739
"Choć ich możliwości są ogromne, sieci neuronowe wymagają dużych ilości danych i mocy obliczeniowej, co stało się możliwe dopiero dzięki rozwojowi kart graficznych i specjalistycznych procesorów",10,danych,czasu,0.2021,pamięci,0.198,zasobów,0.086
"Jedną z ich zalet jest zdolność do generalizacji, czyli wyciągania wniosków z danych, których wcześniej nie widziały, choć przy złym doborze parametrów mogą „przeuczyć się” i działać dobrze tylko na przykładach treningowych",6,do,do,0.8941,szybkiej,0.0459,ich,0.0097
Ciekawym aspektem jest tzw,2,jest,jest,0.7863,są,0.1514,będzie,0.0081
"czarna skrzynka – sieci potrafią dawać świetne wyniki, ale trudno zrozumieć, jak dokładnie doszły do decyzji, co rodzi pytania o przejrzystość i etykę",5,dawać,dawać,0.1962,osiągnąć,0.17,dać,0.1125
"W świecie nauki i biznesu sieci neuronowe stały się podstawowym narzędziem do pracy z Big Data, przewidywania trendów czy personalizacji usług",18,czy,i,0.6585,oraz,0.1656,",",0.0945
"Inspirują także badaczy do tworzenia coraz bardziej zaawansowanych architektur, takich jak transformery, które obecnie dominują w przetwarzaniu języka naturalnego",10,jak,jak,0.9993,jako,0.0002,niż,0.0
"Dzięki nim powstały modele zdolne do pisania tekstów, odpowiadania na pytania czy tworzenia kodu komputerowego",1,nim,niemu,0.3216,temu,0.2995,nim,0.2734
"Rozwój sieci neuronowych jest tak szybki, że ich obecne możliwości często wydają się przypominać science fiction, choć wciąż opierają się na matematyce, statystyce i wielu godzinach treningu na ogromnych zbiorach danych",2,neuronowych,komputerowych,0.4756,komputerowej,0.1411,internetowej,0.0859
"Wraz z ich popularyzacją pojawiają się również pytania o odpowiedzialność, wpływ na rynek pracy i potencjalne ryzyka związane z ich użyciem",6,również,również,0.2211,także,0.1801,nowe,0.1482
